;Model;co2
28671;Armada 2WD;553.0
28672;X5 xDrive40i;396.0
28673;X6 xDrive40i;396.0
28674;Camaro;444.35
28675;Accord;266.0
28676;Edge AWD;384.0
28677;Edge AWD;417.0
28678;Pathfinder 4WD;401.0
28679;Camaro;493.72
28680;AMG GT R Roadster;526.0
28681;Corolla Hatchback;250.0
28682;CT6 AWD;521.0
28683;530e;170.0
28684;530e xDrive;193.0
28685;Panamera Turbo S e-Hybrid Executive;289.0
28686;Panamera Turbo S e-Hybrid ST;289.0
28687;IS 350;388.0
28688;GS F;472.0
28689;GS 350 AWD;422.0
28690;LS 500h;318.0
28691;Shelby GT500 Mustang;631.0
28692;Civic 2Dr;280.0
28693;Spectrum;317.39
28694;Civic 4Dr;248.0
28695;Atlas Cross Sport 4motion;439.0
28696;Aventador Roadster;806.0
28697;Q60;397.0
28698;Q60 Red Sport AWD;424.0
28699;F150 Pickup 4WD;488.0
28700;F150 Pickup 4WD Limited;467.0
28701;RAV4;296.0
28702;S560 Convertible;439.0
28703;S560;430.0
28704;Conquest;493.72
28705;HR-V AWD;311.0
28706;Conquest;493.72
28707;S5;393.0
28708;AMG C63 S Coupe;444.0
28709;UX 250h AWD;225.0
28710;LeBaron Convertible;423.19
28711;Sonata;282.0
28712;SQ5;444.0
28713;Escape AWD;319.0
28714;Escape AWD HEV;224.0
28715;Charade;261.38
28716;Navigator L 2WD;501.0
28717;Pulsar NX;370.29
28718;Navigator 4WD;506.0
28719;Model S Performance (19in Wheels);0.0
28720;Model S Standard Range;0.0
28721;Passat;330.0
28722;CR-V FWD;294.0
28723;TT RS;387.0
28724;Niro FE;177.0
28725;Q8;479.0
28726;Huracan Spyder 2WD;595.0
28727;Sentra Coupe;317.39
28728;Challenger;523.0
28729;Challenger AWD;415.0
28730;Charger;500.0
28731;Rogue Sport;317.0
28732;Ranger 2WD;387.0
28733;CX-5 2WD;322.0
28734;Blazer AWD;374.0
28735;200SX;467.74
28736;Panamera 4 e-Hybrid;255.0
28737;A5 Sportback quattro;329.0
28738;CX-30 2WD;313.0
28739;I8 Coupe;191.0
28740;Range Rover Sport PHEV;260.0
28741;Highlander;386.0
28742;Highlander;372.0
28743;Taycan Turbo;0.0
28744;Colt;329.15
28745;Maybach S650;572.0
28746;Colt;286.68
28747;Encore GX FWD;288.0
28748;911 Carrera S;443.0
28749;911 Carrera 4S;443.0
28750;Flying Spur;601.0
28751;MX-5;299.0
28752;Daytona;444.35
28753;Atlas;461.0
28754;Wrangler 4WD;414.0
28755;CT4 AWD;382.0
28756;Highlander Hybrid AWD;254.0
28757;F-Type R AWD Coupe;481.0
28758;F-Type R AWD Convertible;481.0
28759;Macan GTS;459.0
28760;RS Q8;579.0
28761;i3s;0.0
28762;G70 RWD;447.0
28763;F150 Pickup 2WD;420.0
28764;Encore GX FWD;302.0
28765;John Cooper Works Convertible;313.0
28766;Veloster;299.0
28767;Colorado 2WD;413.0
28768;Canyon 2WD;413.0
28769;Civic;329.15
28770;Sedona;436.0
28771;SQ7;516.0
28772;Ascent;386.0
28773;Corolla XLE;274.0
28774;Corolla XSE;265.0
28775;Sportage FWD;392.0
28776;Sportage AWD;421.0
28777;Prelude;444.35
28778;S6;410.0
28779;Suburban 2WD;525.0
28780;Tahoe 2WD;492.0
28781;Suburban 4WD;558.0
28782;Yukon 4WD;558.0
28783;Encore AWD;344.0
28784;Range Rover Sport SVR;540.0
28785;Accent;248.0
28786;Tucson FWD;361.0
28787;Telluride AWD;428.0
28788;Excel;317.39
28789;S90 AWD;356.0
28790;XC40 FWD;340.0
28791;AMG GLE53 4matic Plus;458.0
28792;MSO HS;499.0
28793;570GT;481.0
28794;720S Coupe;513.0
28795;600LT Coupe;503.0
28796;Senna;570.0
28797;Impulse;444.35
28798;Impreza 5-Door;335.0
28799;GLB250;337.0
28800;Boxster;375.0
28801;Boxster S;423.0
28802;Impulse;444.35
28803;QX80 4WD;593.0
28804;Model S Long Range Plus;0.0
28805;XJ-S;683.62
28806;Portofino;485.0
28807;Stinger AWD;449.0
28808;190E 2.3;444.35
28809;LC 500 Convertible;489.0
28810;RDX FWD;370.0
28811;XC90 AWD PHEV;197.0
28812;Canyon 2WD;435.0
28813;Atlas Cross Sport;453.0
28814;Vantage Manual;541.0
28815;M235i xDrive Gran Coupe;335.0
28816;Cooper Countryman;306.0
28817;Cooper S Clubman;343.0
28818;Cooper S Clubman All4;333.0
28819;G90 RWD;481.0
28820;Cordia;403.95
28821;Phantom EWB;615.0
28822;CX-30 2WD;313.0
28823;X5 M50i;488.0
28824;X5 M;586.0
28825;Alpina XB7;514.0
28826;230i Coupe;356.0
28827;M240i Convertible;410.0
28828;M240i xDrive Convertible;366.0
28829;Camaro;453.0
28830;M550i xDrive;439.0
28831;XT4 FWD;336.0
28832;Blazer FWD;382.0
28833;Regal;484.76
28834;Mirage;355.48
28835;XT6 AWD;386.0
28836;Precis;341.81
28837;Acadia FWD;382.0
28838;Veloster N;400.0
28839;Veloster N;363.0
28840;540i xDrive;337.0
28841;M5 Competition;520.0
28842;Malibu;342.0
28843;Avalon XLE;341.0
28844;Ghost EWB;623.0
28845;XT5 FWD;370.0
28846;RAV4;290.0
28847;Bentayga;497.0
28848;GX 460;542.0
28849;Tredia;370.29
28850;Colt;329.15
28851;DBS;522.0
28852;C-HR;305.0
28853;Gladiator 4WD;476.0
28854;Colt;403.95
28855;SQ8;522.0
28856;LX 570;636.0
28857;A220;309.0
28858;3 4-Door 4WD;320.0
28859;Firebird/Trans Am;493.72
28860;Q50 Red Sport;403.0
28861;Q50 Red Sport  AWD;411.0
28862;Civic 5Dr;259.0
28863;Cherokee FWD;352.0
28864;Cherokee 4WD;370.0
28865;E350;349.0
28866;Tacoma 2WD;423.0
28867;Silverado 2WD;547.0
28868;Sierra 2WD;466.0
28869;Silverado 4WD;530.0
28870;Sierra 4WD;430.0
28871;Sierra 4WD AT4;484.0
28872;Silverado Cab Chassis 2WD;523.0
28873;Renegade 2WD;357.0
28874;Highlander;389.0
28875;Sunbird Convertible;444.35
28876;GLB250 4matic;347.0
28877;Defender 90 MHEV;462.0
28878;Sunbird Convertible;423.19
28879;M440i xDrive Coupe;346.0
28880;EcoSport AWD;355.0
28881;Durango RWD;414.0
28882;Grand Cherokee 2WD;414.0
28883;Durango AWD;427.0
28884;Grand Cherokee 4WD;427.0
28885;S60 AWD;345.0
28886;Sunburst;269.3
28887;Ghibli S;446.0
28888;Quattroporte S;468.0
28889;Silverado 2WD;523.0
28890;Enclave FWD;420.0
28891;Traverse FWD;420.0
28892;Sequoia 2WD;608.0
28893;Enclave AWD;440.0
28894;Levante S;495.0
28895;718 Boxster;394.0
28896;718 Boxster;375.0
28897;718 Cayman S;410.0
28898;718 Cayman T;394.0
28899;718 Cayman T;380.0
28900;A5 Cabriolet quattro;341.0
28901;Hatchback;403.95
28902;RC 300;357.0
28903;A4 S line quattro;331.0
28904;CT4;327.0
28905;CT4 AWD;343.0
28906;Jetta GLI;319.0
28907;Jetta;266.0
28908;CT5 AWD;419.0
28909;XT;370.29
28910;Transit Connect USPS;397.0
28911;Transit Connect Wagon LWB FFV;344.0
28912;Sorento AWD;366.0
28913;Explorer RWD;373.0
28914;Explorer RWD;431.0
28915;Explorer AWD;445.0
28916;Explorer AWD;386.0
28917;6;335.0
28918;Camry;338.0
28919;Camry XLE/XSE;284.0
28920;Camry Hybrid LE;170.0
28921;HR-V AWD;315.0
28922;Corsair AWD;373.0
28923;Durango AWD;533.0
28924;E450 4matic Coupe;350.0
28925;AMG E53 4matic Plus Convertible;384.0
28926;IS 300 AWD;407.0
28927;IS 350 AWD;407.0
28928;Civic 4Dr;266.0
28929;3 5-Door 4WD;337.0
28930;Accord Sport/Touring;345.0
28931;Silverado 4WD;533.0
28932;Envision FWD;341.0
28933;Rogue FWD  SV/SL/Platinum;304.0
28934;Stelvio AWD;364.0
28935;Macan Turbo;471.0
28936;Altima SR;290.0
28937;Altima AWD;295.0
28938;Altima SR/Platinum;311.0
28939;Charger;466.0
28940;Renegade 4WD;307.0
28941;Corolla;341.81
28942;Model 3 Performance AWD;0.0
28943;Model X Performance (20in Wheels);0.0
28944;Aventador Sian Roadster;861.0
28945;1500 TRX 4WD;748.0
28946;Santa Fe FWD;365.0
28947;Santa Fe AWD;375.0
28948;Corvette;467.0
28949;Evora GT;438.0
28950;911 Turbo S;517.0
28951;911 Turbo S Cabriolet;529.0
28952;Versa;254.0
28953;Challenger;496.0
28954;Challenger Widebody;496.0
28955;300;389.0
28956;300 AWD;415.0
28957;Charger AWD;415.0
28958;Charger SRT Widebody;592.0
28959;Charger Widebody;496.0
28960;Sonata;335.0
28961;F150 Pickup 2WD FFV;424.0
28962;1500 Classic 4WD;474.0
28963;Supra;493.72
28964;Explorer HEV RWD;324.0
28965;Chiron;840.0
28966;Seville;522.76
28967;911 Carrera;443.0
28968;911 Carrera S Cabriolet;443.0
28969;Model S Performance (19in Wheels);0.0
28970;Model S Performance (21in Wheels);0.0
28971;AMG GT Coupe;527.0
28972;AMG GT C Roadster;531.0
28973;AMG GT 63 S 4matic Plus;502.0
28974;Maxima;370.0
28975;Fox;370.29
28976;AMG GLE63 S 4matic Plus Coupe;534.0
28977;GLS580 4matic;491.0
28978;M3;472.0
28979;Mirage G4;252.0
28980;CX-30 4WD;353.0
28981;718 Boxster GTS;418.0
28982;718 Cayman GT4;460.0
28983;GV;370.29
28984;Suburban 4WD;444.0
28985;Yukon 4WD;444.0
28986;Navigator 4WD;508.0
28987;Mustang Mach-E AWD;0.0
28988;GS-6 (22-inch wheels);96.0
28989;GT;632.0
28990;Elantra Hybrid;177.0
28991;Elantra Hybrid Blue;165.0
28992;F150 Pickup 2WD HEV;349.0
28993;Metris (Cargo Van);432.0
28994;Niro;183.0
28995;Murano AWD;390.0
28996;K27;0.0
28997;Q5 Sportback;349.0
28998;Escape AWD;342.0
28999;Santa Fe Hybrid Blue;264.0
29000;Range Rover Velar P340 MHEV;399.0
29001;Bentayga;616.0
29002;i3s;0.0
29003;Bolt EV;0.0
29004;Leaf SV/SL (62 kW-hr battery pack);0.0
29005;Mustang HO Coupe;397.0
29006;5 Series;467.74
29007;Mustang Convertible;387.0
29008;Mustang Convertible;493.0
29009;Wrangler 4dr 4WD;623.0
29010;Discovery;436.0
29011;Armada 4WD;595.0
29012;Stinger RWD;437.0
29013;Carnival;407.0
29014;MDX FWD;411.0
29015;Skyhawk;355.48
29016;Panamera;441.0
29017;G70 RWD;433.0
29018;Sportage FWD;350.0
29019;GV70 AWD;428.0
29020;E-Pace;398.0
29021;Panamera 4S Executive;469.0
29022;Panamera 4S ST;469.0
29023;Panamera Turbo S;525.0
29024;Rogue FWD SL/Platinum;278.0
29025;Corsair AWD PHEV;117.0
29026;Cooper Hardtop 4 door;284.0
29027;Cooper S Hardtop 4 door;331.0
29028;Cooper S Clubman;335.0
29029;Tucson Hybrid Blue;238.0
29030;M850i xDrive Coupe;442.0
29031;Alpina B8 Gran Coupe;454.0
29032;Alpina B7 xDrive;454.0
29033;Trax AWD;342.0
29034;Sierra 2WD;541.0
29035;Sierra 4WD;560.0
29036;Beretta;355.48
29037;Beretta;444.35
29038;Veloster N;400.0
29039;Cooper S Countryman All4;341.0
29040;Beretta;444.35
29041;G90 AWD;460.0
29042;Encore GX AWD;324.0
29043;Cavalier;355.48
29044;Sierra Cab Chassis 4WD;635.0
29045;QX55 AWD;364.0
29046;Cavalier;423.19
29047;Wraith Black Badge;624.0
29048;Malibu;275.0
29049;Range Rover Sport P360 MHEV;433.0
29050;Range Rover Sport P400 MHEV;433.0
29051;Defender 110;563.0
29052;Panamera 4 e-Hybrid Executive;232.0
29053;Panamera 4 e-Hybrid ST;232.0
29054;Corsica;444.35
29055;G70 RWD;367.0
29056;Defender 90;545.0
29057;Pathfinder 4WD Platinum;399.0
29058;Bolt EUV;0.0
29059;Bolt EV;0.0
29060;XT4 FWD;341.0
29061;Nova;306.45
29062;Envision AWD;350.0
29063;Cooper SE Countryman All4;175.0
29064;Sonata;293.0
29065;LeBaron;444.35
29066;Santa Fe AWD;378.0
29067;Santa Fe AWD;375.0
29068;Telluride AWD;429.0
29069;SA310;211.6
29070;Celebrity;444.35
29071;Bronco Sasquatch 4WD;494.0
29072;Bronco Black Diamond 4WD;496.0
29073;CT4 V;488.0
29074;LeBaron;423.19
29075;Silverado 4WD TrailBoss;555.0
29076;Silverado 4WD TrailBoss;523.0
29077;Suburban 2WD;523.0
29078;Maxima;493.72
29079;Tahoe 4WD;570.0
29080;Suburban 4WD;555.0
29081;Yukon 4WD;523.0
29082;CT5 V;557.0
29083;Elantra Hybrid;177.0
29084;Elantra Hybrid Blue;165.0
29085;Impreza 4-Door;337.0
29086;Impreza 5-Door;284.0
29087;Corolla;257.0
29088;Corolla;277.0
29089;Prius AWD;179.0
29090;XT5 Limo FWD;425.0
29091;XT5 Hearse AWD;425.0
29092;Stanza;423.19
29093;S500 4matic;372.0
29094;Celebrity;444.35
29095;Huracan Coupe RWD;596.0
29096;Continental GT V8 Convertible;473.0
29097;A4 S line quattro;332.0
29098;Accent;248.0
29099;Omni;355.48
29100;RS 7;507.0
29101;S5 Sportback;363.0
29102;A6 quattro;361.0
29103;Civic 4Dr;254.0
29104;Venue;290.0
29105;A4 allroad quattro;335.0
29106;Q3 quattro;346.0
29107;Shadow;355.48
29108;Q8 quattro;440.0
29109;Bentayga;497.0
29110;Urus;617.0
29111;Ioniq Plug-in Hybrid;74.0
29112;Mustang;606.0
29113;S580 4matic;452.0
29114;Z4 sDrive30i;317.0
29115;F-Type P450 RWD Coupe;460.0
29116;430i xDrive Coupe;327.0
29117;430i xDrive Convertible;327.0
29118;330i xDrive Sedan;314.0
29119;M3 Sedan;472.0
29120;M440i xDrive Gran Coupe;360.0
29121;S60 B5;299.0
29122;S60 B5 AWD;316.0
29123;530i Sedan;313.0
29124;Atlas 4motion;411.0
29125;XC40 T5 AWD;359.0
29126;XC90 T5;361.0
29127;XC90 T5 AWD;380.0
29128;XC90 T6 AWD;405.0
29129;Niro Plug-in Hybrid;90.0
29130;Range Rover Sport PHEV;259.0
29131;CT5 AWD;358.0
29132;Discovery Sport;437.0
29133;F-Type P450 AWD R-Dynamic Coupe;481.0
29134;Camaro;452.0
29135;Corolla Hatchback;284.0
29136;Corolla Hatchback XSE;266.0
29137;M5 Sedan;523.0
29138;HR-V FWD;292.0
29139;Stelvio AWD;463.0
29140;S90 T8 AWD Recharge;164.0
29141;BRZ;398.0
29142;M240i xDrive Coupe;335.0
29143;430i Convertible;312.0
29144;M440i xDrive Convertible;339.0
29145;430i Gran Coupe;312.0
29146;Mirage;242.0
29147;Thunderbird;467.74
29148;540i Sedan;322.0
29149;Ghibli Modena AWD;472.0
29150;Outlander Sport 2WD;331.0
29151;X3 M;519.0
29152;Pilot AWD;407.0
29153;GV80 AWD;448.0
29154;Levante GT;495.0
29155;GTI;319.0
29156;Camry AWD LE/SE;310.0
29157;Camry LE/SE;280.0
29158;Sequoia 2WD;604.0
29159;Sorento Plug-in Hybrid;105.0
29160;XJ6;467.74
29161;Avalon XLE;341.0
29162;Avalon Hybrid;203.0
29163;Avalon Hybrid XLE;201.0
29164;Canyon 2WD;424.0
29165;Colorado 4WD;455.0
29166;1500 4WD;418.0
29167;1500 4WD;456.0
29168;1500 4WD;523.0
29169;Range Rover SVA;569.0
29170;Range Rover LWB SVA;587.0
29171;F8 Spider;552.0
29172;911 Carrera Cabriolet;443.0
29173;911 Carrera S Cabriolet;439.0
29174;911 Carrera 4S Cabriolet;439.0
29175;911 Targa 4S;442.0
29176;RX 350;391.0
29177;4Runner 2WD;503.0
29178;4Runner 4WD;515.0
29179;Leaf (62 kW-hr battery pack);0.0
29180;2 Dual Motor;0.0
29181;Frontier 2WD;444.0
29182;R1S;0.0
29183;Portofino M;471.0
29184;CLA250;309.0
29185;Elantra N;358.0
29186;Maverick FWD;342.0
29187;323;355.48
29188;Forester Wilderness AWD;338.0
29189;Aviator RWD;424.0
29190;Air Dream R AWD w/21 inch wheels;0.0
29191;Air G Touring AWD w/19 inch wheels;0.0
29192;323;329.15
29193;718 Cayman T;380.0
29194;Q60 Red Sport AWD;423.0
29195;260E;493.72
29196;RC 350 AWD;407.0
29197;IS 350 AWD;407.0
29198;IS 500;451.0
29199;300E;493.72
29200;Flying Spur;601.0
29201;Q50;388.0
29202;Q50 Red Sport;403.0
29203;Q50 Red Sport  AWD;411.0
29204;Civic 5Dr;282.0
29205;Civic 5Dr;277.0
29206;QX60 FWD;391.0
29207;TT RS Coupe;377.0
29208;300SE;555.44
29209;Forte;296.0
29210;Accord Sport/Touring;278.0
29211;Accord Hybrid;186.0
29212;Accord Hybrid Sport/Touring;207.0
29213;560SEC;683.62
29214;Panamera 4S Executive;469.0
29215;Panamera 4S ST;469.0
29216;Panamera 4;441.0
29217;Panamera 4 ST;441.0
29218;240 DL/240 GL Sedan;467.74
29219;Silverado 4WD;427.0
29220;Silverado Mud Terrain Tires 4WD;479.0
29221;Escalade 2WD;442.0
29222;Tahoe 4WD;462.0
29223;GLS450 4matic;433.0
29224;Panamera 4 E-Hybrid/Exec/ST;232.0
29225;Cutlass Calais;355.48
29226;911 GT3 Touring;539.0
29227;GR 86;360.0
29228;AMG A35 4matic;356.0
29229;TLX Type-S Perf Tire;421.0
29230;Pacifica;401.0
29231;NX 250;311.0
29232;Cutlass Calais;444.35
29233;F-Pace SVR;509.0
29234;Yukon 2WD;542.0
29235;Suburban 4WD;568.0
29236;AMG GLE53 4matic Plus;455.0
29237;Cayenne / Cayenne Coupe;466.0
29238;Cayenne S;494.0
29239;Cayenne Turbo;553.0
29240;Cayenne Turbo GT Coupe;555.0
29241;GT;504.0
29242;720S Spider;505.0
29243;LC 500 Convertible;489.0
29244;LC 500;473.0
29245;LC 500h;303.0
29246;E450 Convertible;360.0
29247;Edge AWD;388.0
29248;Yukon XL 2WD;534.0
29249;Silverado 2WD;441.0
29250;Sierra 2WD;503.0
29251;505 Sedan;493.72
29252;Sierra 4WD;521.0
29253;NX 350 AWD;357.0
29254;AMG CLA35 4matic;366.0
29255;1500 Classic 4WD;526.0
29256;Q4 e-tron quattro;0.0
29257;Taycan 4S Perf Battery Plus;0.0
29258;Taycan Turbo;0.0
29259;Taycan Turbo S Cross Turismo;0.0
29260;Sundance;355.48
29261;AMG E53 4matic Plus Convertible;397.0
29262;AMG E53 4matic Plus;373.0
29263;Altima;278.0
29264;Altima AWD SR/Platinum;307.0
29265;X1 sDrive28i;324.0
29266;Escape FWD HEV;220.0
29267;Corsair FWD;361.0
29268;Renegade 4WD;347.0
29269;Corsair AWD;369.0
29270;Explorer RWD;437.0
29271;Explorer HEV RWD;324.0
29272;Gladiator 4WD;476.0
29273;Grand Cherokee 4WD;413.0
29274;F150 Pickup 2WD;436.0
29275;F150 Pickup 2WD FFV;444.0
29276;F150 Pickup 2WD FFV;461.0
29277;F150 Pickup 4WD;433.0
29278;F150 Pickup 4WD FFV;444.0
29279;F150 Pickup 4WD;444.0
29280;F150 Pickup 4WD FFV;468.0
29281;F150 Pickup Tremor 4WD;498.0
29282;765LT Coupe;565.0
29283;S580 4matic Maybach;484.0
29284;Tundra 4WD;460.0
29285;Tundra 4WD;459.0
29286;Passport FWD;405.0
29287;F-Pace P340 MHEV;402.0
29288;Wrangler 4dr 4WD;404.0
29289;Wrangler 4dr 4WD;443.0
29290;Wrangler 4dr 4WD;623.0
29291;Range Rover Velar P400 MHEV;426.0
29292;AMG GLC43 4matic;430.0
29293;e-tron Sportback quattro;0.0
29294;Ioniq 5 RWD (Long Range);0.0
29295;EV6 RWD (Long Range);0.0
29296;EV6 RWD (Standard Range);0.0
29297;Lemans;370.29
29298;Escape FWD PHEV;77.0
29299;DBS;522.0
29300;Giulia AWD;348.0
29301;QX50;348.0
29302;Rogue FWD SL/Platinum;278.0
29303;Aventador Coupe;802.0
29304;Metris (Cargo Van;0.0
29305;Metris (US Postal Long);410.0
29306;AMG GLC43 4matic  Coupe;468.0
29307;Suburban 2WD;527.0
29308;Suburban 2WD;547.0
29309;Explorer RWD;370.0
29310;Yukon XL 2WD;527.0
29311;Yukon XL 2WD;561.0
29312;Explorer Timberline AWD;445.0
29313;RAV4 Prime 4WD;72.0
29314;C-HR;305.0
29315;F150 Pickup 2WD HEV;353.0
29316;Promaster City;374.0
29317;Bronco 4WD;456.0
29318;Bronco 4WD;437.0
29319;Bronco Black Diamond 4WD;493.0
29320;Cabriolet;423.19
29321;900;467.74
29322;Bronco Badlands 4WD;519.0
29323;RAV4 AWD LE;296.0
29324;Model 3 RWD;0.0
29325;Model S Plaid (21 inch wheels);0.0
29326;Model Y RWD;0.0
29327;Mustang HO Coupe;396.0
29328;Mustang;354.0
29329;Mustang Mach 1;493.0
29330;Mustang Mach 1;523.0
29331;Mustang Convertible;386.0
29332;WRX;419.0
29333;Rogue Sport;318.0
29334;GT;632.0
29335;300 AWD;415.0
29336;Sedan/3Door 4WD Turbo;423.19
29337;Charger SRT Widebody;592.0
29338;Sportage FWD;322.0
29339;Defender 90 MHEV;444.0
29340;X5 xDrive45e;178.0
29341;911 Carrera 4 GTS;464.0
29342;911 Carrera 4 GTS;465.0
29343;Silverado 4WD ZR2;588.0
29344;iX xDrive50 (20 inch wheels);0.0
29345;Camry;467.74
29346;Sierra Mud Terrain Tires 4WD;592.0
29347;Golf;386.39
29348;G70 RWD;361.0
29349;GT;504.0
29350;Odyssey;394.0
29351;M8 Competition Coupe;517.0
29352;M8 Competition Convertible;517.0
29353;Cooper Hardtop 2 door;284.0
29354;Stinger RWD;355.0
29355;E-Pace;398.0
29356;CX-50 4WD;335.0
29357;Eclipse Cross ES 4WD;337.0
29358;RS 3;383.0
29359;ID.4 AWD Pro;0.0
29360;Cooper S Convertible;293.0
29361;John Cooper Works Convertible;322.0
29362;840i Coupe;373.0
29363;780;555.44
29364;840i Gran Coupe;374.0
29365;Cooper S Clubman;307.0
29366;BRZ;362.0
29367;5000 CS Turbo;493.72
29368;Shelby GT500 Mustang;631.0
29369;Grand Wagoneer 2WD;521.0
29370;Grand Wagoneer 4WD;537.0
29371;Elantra;288.0
29372;Elantra Hybrid;177.0
29373;Palisade FWD;406.0
29374;5000 S;493.72
29375;Encore GX AWD;324.0
29376;Santa Fe Hybrid;283.0
29377;F-150 Lightning Platinum 4WD;0.0
29378;Vantage V8;435.0
29379;DBX V8;556.0
29380;Kona AWD;311.0
29381;iX M60 (22 inch wheels);0.0
29382;Cooper SE Hardtop 2 door;0.0
29383;Huracan Coupe 2WD;593.0
29384;Huracan Spyder;596.0
29385;Integra;269.0
29386;Crosstrek AWD;297.0
29387;Crosstrek AWD;355.0
29388;Crosstrek AWD;303.0
29389;Camaro;401.0
29390;Camaro;360.0
29391;Camaro;559.0
29392;Forte;348.0
29393;7 Series;555.44
29394;Ghibli Trofeo;560.0
29395;K5;293.0
29396;Quattroporte GT;453.0
29397;XT5 FWD;419.0
29398;Envision AWD;355.0
29399;XT6 AWD;433.0
29400;Century;423.19
29401;Enclave FWD;424.0
29402;Levante Modena V8;562.0
29403;Camaro;407.0
29404;Outback AWD;356.0
29405;GTI;319.0
29406;Ghibli Modena AWD;457.0
29407;Sonata;293.0
29408;Eldorado;522.76
29409;Celebrity;370.29
29410;Impreza Sport 5-Door;351.0
29411;MDX FWD;411.0
29412;MDX AWD;423.0
29413;Stelvio AWD;463.0
29414;Range Rover Velar;393.0
29415;New Range Rover P360 LWB MHEV;427.0
29416;S5 Cabriolet;375.0
29417;TT Coupe;347.0
29418;230i xDrive Coupe;314.0
29419;M240i xDrive Coupe;338.0
29420;430i xDrive Convertible;327.0
29421;M440i Coupe;325.0
29422;M3 Competition Sedan;470.0
29423;M3 Competition M xDrive Sedan;477.0
29424;LeBaron;403.95
29425;M5 Competition Sedan;522.0
29426;CT5 AWD;358.0
29427;CT5;333.0
29428;X3 sDrive30i;352.0
29429;XC60 B5;342.0
29430;SQ5 Sportback;422.0
29431;X4 xDrive30i;369.0
29432;Sorento Hybrid AWD;262.0
29433;Suburban 2WD;442.0
29434;Durango RWD;416.0
29435;X6 M50i;486.0
29436;Escalade 4WD;462.0
29437;Escalade V 4WD;702.0
29438;LeBaron;467.74
29439;Q50 Red Sport  AWD;411.0
29440;Santa Fe AWD;375.0
29441;X7 xDrive40i;392.0
29442;Tahoe 4WD;564.0
29443;Suburban 4WD;545.0
29444;Yukon XL 4WD;545.0
29445;GLI;299.0
29446;GLI;297.0
29447;A5 Sportback S-Line quattro;326.0
29448;S6;408.0
29449;Arteon 4motion;347.0
29450;Cullinan;626.0
29451;Atlas Cross Sport;435.0
29452;Tucson Hybrid;245.0
29453;Wrangler 4dr EcoDiesel 4WD;411.0
29454;Wrangler 2dr 4WD;446.0
29455;Atlas 4motion;411.0
29456;Tiguan R-Line 4motion;369.0
29457;Lancer;423.19
29458;Camry AWD LE/SE;310.0
29459;Camry XLE/XSE;286.0
29460;Camry Hybrid LE;170.0
29461;Panamera;441.0
29462;Panamera 4S ST;469.0
29463;Panamera GTS ST;520.0
29464;Sequoia 4WD;437.0
29465;bZ4X LIMITED;0.0
29466;C40 Recharge twin;0.0
29467;Urus Performante;554.0
29468;600;403.95
29469;Sierra 2WD;396.0
29470;Silverado Mud Terrain Tires 4WD;524.0
29471;Silverado 4WD;459.0
29472;Sierra 4WD;468.0
29473;Sierra 4WD;523.0
29474;Sierra Mud Terrain Tires 4WD;554.0
29475;Sierra 4WD;535.0
29476;Sierra Mud Terrain Tires 4WD;512.0
29477;Gladiator EcoDiesel 4WD;423.0
29478;Silverado Cab Chassis 4WD;564.0
29479;Mark VII;493.72
29480;Equinox FWD;317.0
29481;Rogue FWD SL/Platinum;278.0
29482;Rogue AWD SL/Platinum;288.0
29483;QX60 FWD;387.0
29484;QX60 AWD;405.0
29485;Grand Wagoneer 4WD;537.0
29486;S8;503.0
29487;Tacoma 2WD;423.0
29488;Tacoma 4WD D-CAB MT TRD-ORP/PRO;483.0
29489;Tundra 2WD;408.0
29490;626/MX-6;403.95
29491;Tiguan;343.0
29492;Durango RWD;525.0
29493;GLS450 4matic;433.0
29494;AMG GLE53 4matic Plus;456.0
29495;Chiron Pur Sport;979.0
29496;Corolla Hatchback;252.0
29497;Flying Spur;601.0
29498;Malibu;292.0
29499;S500 4matic;388.0
29500;718 Boxster;375.0
29501;Elantra N;358.0
29502;E350 4matic;364.0
29503;Altima SL/SR;287.0
29504;Wrangler 4dr 4WD;443.0
29505;Telluride AWD;433.0
29506;QX80 4WD;592.0
29507;Cutlass Ciera;444.35
29508;Q4 e-tron Sportback;0.0
29509;i7 xDrive60 Sedan (19 inch wheels);0.0
29510;i7 xDrive60 Sedan (20 inch wheels);0.0
29511;Electrified G80;0.0
29512;EV6 AWD GT;0.0
29513;EV6 Standard Range RWD;0.0
29514;EQS 450 4Matic (SUV);0.0
29515;Taycan 4S Perf Battery Plus;0.0
29516;Taycan Performance Battery;0.0
29517;Taycan Turbo;0.0
29518;Taycan Turbo Cross Turismo;0.0
29519;ID.4 S;0.0
29520;RC 300;355.0
29521;C300;308.0
29522;Caravelle;386.39
29523;Civic 4Dr;285.0
29524;E450 4matic All-Terrain (wagon);374.0
29525;Metris (Cargo Van;0.0
29526;RDX AWD;385.0
29527;CR-V Hybrid AWD;237.0
29528;Gran Fury;592.47
29529;911 GT3;538.0
29530;911 Carrera;443.0
29531;911 Carrera S;441.0
29532;911 Carrera 4S;442.0
29533;911 Carrera 4S;443.0
29534;911 Carrera 4S Cabriolet;452.0
29535;911 Carrera 4S Cabriolet;439.0
29536;LeBaron GTS;444.35
29537;911 Carrera 4 Cabriolet;443.0
29538;911 Carrera GTS Cabriolet;448.0
29539;911 Carrera 4 GTS;465.0
