;Model;co2
347;3 4-Door;283.0
348;3 4-Door;293.0
349;3 5-Door;286.0
350;3 5-Door;280.0
351;Camry;264.0
352;Elantra GT;363.0
353;Impreza Sport 5-Door;351.0
354;Compass FWD;339.0
355;Compass 4WD;355.0
356;Camry;377.04
357;TTS Coupe;358.0
358;Beetle Dune Convertible;305.0
359;Beetle Dune;305.0
360;ATS;376.0
361;Camry Hybrid XLE/SE;195.0
362;A8 L;397.0
363;E250 Econoline 2WD;807.91
364;GLC300;364.0
365;XT5 AWD;423.0
366;Acadia FWD;386.0
367;Acadia FWD;423.0
368;F-Type R AWD Convertible;500.0
369;CT6;360.0
370;Silverado C15 2WD;495.0
371;Sierra C15 2WD;517.0
372;Sierra K15 4WD;524.0
373;Silverado C15 Cab Chassis 2WD;523.0
374;Sierra K15 Cab Chassis 4WD;523.0
375;Tahoe C1500 2WD;468.0
376;Yukon C1500 XL 2WD;517.0
377;Yukon C1500 2WD;468.0
378;Tahoe K1500 4WD;497.0
379;Yukon K1500 XL 4WD;548.0
380;Yukon K1500 XL 4WD;504.0
381;GLE350 4matic;457.0
382;A3 quattro;330.0
383;Challenger;523.0
384;Challenger SRT;567.0
385;G15/25 Vandura 2WD;565.56
386;300 AWD;415.0
387;Charger SRT;486.0
388;Forte 5;332.0
389;Colorado 2WD;403.0
390;Canyon 2WD;440.0
391;Colorado 4WD;463.0
392;Canyon 4WD;429.0
393;Ridgeline AWD;424.0
394;Cherokee FWD;361.0
395;Camry;329.15
396;Safari 2WD (cargo);423.19
397;GLS550 4matic;556.0
398;Safari 2WD (cargo);522.76
399;Cooper S Convertible;338.0
400;John Cooper Works Convertible;349.0
401;230i xDrive Convertible;333.0
402;M240i Coupe;401.0
403;M2;395.0
404;Cooper Hardtop 2 door;282.0
405;Cooper S Hardtop 2 door;338.0
406;Cooper S Hardtop 4 door;338.0
407;Van;493.72
408;John Cooper Works Hardtop;338.0
409;330i;324.0
410;340i;352.0
411;340i;389.0
412;Cruze Premier;269.0
413;Q50 Hybrid AWD;321.0
414;Cargo Van 2WD;444.35
415;Mirage G4;237.0
416;Cargo Van 4WD;493.72
417;Cooper Clubman;323.0
418;Cooper S Countryman All4;365.0
419;Astro 2WD (passenger);522.76
420;Grand Cherokee SRT 4WD;592.0
421;Armada 4WD;587.0
422;Astro 2WD (passenger);522.76
423;Volt;51.0
424;Corolla;341.81
425;911 Carrera 4;362.0
426;911 Targa 4S;396.0
427;911 Carrera GTS;418.0
428;911 Carrera 4 GTS;414.0
429;G10/20 Sport Van 2WD;683.62
430;C300 4matic Coupe;351.0
431;AMG C43 4matic Coupe;394.0
432;Cruze Hatchback;285.0
433;E300;351.0
434;Cooper Clubman All4;341.0
435;F150 Pickup 2WD;401.0
436;F150 2.7L 2WD GVWR>6649 LBS;420.0
437;F150 5.0L 2WD GVWR>7599 LBS;522.0
438;Tundra 2WD;554.0
439;F150 Pickup 4WD;470.0
440;F150 3.5L 4WD GVWR>7599 LBS;494.0
441;Tundra 4WD;568.0
442;Tundra 4WD;615.0
443;Giulia;330.0
444;HR-V FWD;289.0
445;Terrain FWD;319.0
446;Equinox AWD;319.0
447;Terrain AWD;319.0
448;Durango AWD;533.0
449;Sequoia 4WD FFV;614.0
450;AMG C63 Convertible;468.0
451;Rio;280.0
452;Rio;277.0
453;AMG C63;441.0
454;AMG C63 S;441.0
455;Versa;296.0
456;B150/B250 Wagon 2WD;683.62
457;Corolla;281.0
458;Civic 5Dr;259.0
459;Panamera;369.0
460;Panamera 4;378.0
461;Journey;456.0
462;B150/B250 Wagon 2WD;888.7
463;RAV4 Limited AWD/SE AWD;363.0
464;1500 2WD;448.0
465;B350 Wagon 2WD;807.91
466;CLS550 4matic;444.0
467;S6;480.0
468;Corolla;306.45
469;Traverse FWD;404.0
470;Spark;269.0
471;Aerostar Wagon;522.76
472;Sonic;311.0
473;MKZ FWD;425.0
474;Phantom EWB;623.0
475;E150 Club Wagon;592.47
476;Transit T150 Wagon;570.0
477;XTS Limo;525.0
478;Encore;313.0
479;E150 Club Wagon;592.47
480;E150 Club Wagon;683.62
481;911 GT3;522.0
482;Cayman;353.0
483;Cayman S;372.0
484;911 Turbo S Exclusive;459.0
485;Altima;287.0
486;Frontier 2WD;431.0
487;Frontier 4WD;519.0
488;Frontier 4WD FFV;520.0
489;Pathfinder 2WD;395.0
490;Envision AWD;377.0
491;X5 xDrive50i;517.0
492;Cayenne;432.0
493;R8 Spyder AWD;531.0
494;R8 Spyder RWD;497.0
495;Edge FWD;370.0
496;MDX AWD;404.0
497;MKX AWD;467.0
498;F-Type Convertible;346.0
499;Civic 2Dr;278.0
500;GS 450h;283.0
501;Wrangler Unlimited 4WD;502.0
502;Accord;298.0
